         88129 function calls (86995 primitive calls) in 0.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 core.py:1364(feature_types)
       56    0.000    0.000    0.000    0.000 config.py:145(_get_option)
       14    0.000    0.000    0.000    0.000 inspect.py:3015(__init__)
       27    0.000    0.000    0.000    0.000 arraysetops.py:939(setdiff1d)
       43    0.000    0.000    0.000    0.000 common.py:633(is_integer_dtype)
        1    0.000    0.000    0.012    0.012 utils.py:37(evaluate_model)
        8    0.000    0.000    0.009    0.001 data.py:1054(dispatch_data_backend)
        5    0.000    0.000    0.002    0.000 core.py:1371(_init)
      195    0.000    0.000    0.000    0.000 arraysetops.py:125(_unpack_tuple)
       27    0.000    0.000    0.000    0.000 numeric.py:136(ones)
        1    0.000    0.000    0.165    0.165 models.py:67(train_basemodels)
        7    0.000    0.000    0.000    0.000 core.py:134(push)
      171    0.000    0.000    0.000    0.000 series.py:831(_values)
       92    0.000    0.000    0.000    0.000 typing.py:378(inner)
        5    0.000    0.000    0.003    0.001 core.py:600(__init__)
        1    0.000    0.000    0.095    0.095 core.py:2369(_fit)
       44    0.000    0.000    0.000    0.000 series.py:784(name)
      531    0.000    0.000    0.000    0.000 __init__.py:534(<lambda>)
      106    0.000    0.000    0.000    0.000 construction.py:481(ensure_wrapped_if_datetimelike)
      369    0.000    0.000    0.000    0.000 _array_api.py:212(_check_device_cpu)
       13    0.000    0.000    0.000    0.000 managers.py:1633(as_array)
        2    0.000    0.000    0.000    0.000 core.py:408(ctypes2buffer)
        1    0.000    0.000    0.000    0.000 {method '_get_loss_function_name' of '_catboost._CatBoost' objects}
       86    0.000    0.000    0.000    0.000 data.py:361(is_pa_ext_categorical_dtype)
       41    0.000    0.000    0.000    0.000 __init__.py:389(__getattr__)
      158    0.000    0.000    0.000    0.000 __init__.py:34(using_copy_on_write)
        1    0.000    0.000    0.202    0.202 <string>:1(<module>)
       41    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
       66    0.000    0.000    0.000    0.000 managers.py:180(blknos)
       66    0.000    0.000    0.000    0.000 fromnumeric.py:2322(any)
       94    0.000    0.000    0.000    0.000 compat.py:21(lazy_isinstance)
       30    0.000    0.000    0.000    0.000 encoder.py:183(encode)
       17    0.000    0.000    0.000    0.000 copy.py:217(_deepcopy_dict)
      132    0.000    0.000    0.001    0.000 core.py:1979(feature_types)
